,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
777,778,15,['000'],0,S,0,0,,
778,779,15,['000'],0,A,0,0,,
779,780,15,['010'],2,B,0,0,,
780,781,15,['000'],0,S,0,0,,
781,782,15,['000'],0,A,0,0,,
782,783,15,['010'],2,B,0,0,,
783,784,15,['000'],0,S,0,0,,
784,785,15,['000'],0,A,0,0,,
785,786,15,['001'],1,B,0,0,,
786,787,15,['000'],0,S,0,0,,
787,788,15,['000'],0,A,0,0,,
788,789,15,['010'],2,B,0,0,,
789,790,15,['000'],0,S,0,0,,
790,791,15,['000'],0,A,0,0,,
791,792,15,['010'],2,B,0,0,,
792,793,15,['000'],0,S,0,0,,
793,794,15,['000'],0,A,0,0,,
794,795,15,['010'],2,B,0,0,,
795,796,15,['000'],0,S,0,0,,
796,797,15,['001'],1,A,0,0,,
797,798,15,['010'],2,B,0,0,,
798,799,15,['001'],1,S,0,0,,
799,800,15,['000'],0,A,0,0,,
800,801,15,['000'],0,B,0,0,,
801,802,15,['000'],0,S,0,0,,
802,803,15,['000'],0,A,0,0,,
803,804,15,['000'],0,B,0,0,,
804,805,15,['000'],0,S,0,0,,
805,806,15,['000'],0,A,0,0,,
806,807,15,['010'],2,B,0,0,,
807,808,15,['000'],0,S,0,0,,
808,809,15,['000'],0,A,0,0,,
809,810,15,['010'],2,B,0,0,,
810,811,15,['000'],0,S,0,0,,
811,812,15,['001'],1,A,0,0,,
812,813,15,['001'],1,B,0,0,,
813,814,15,['000'],0,S,0,0,,
814,815,15,['000'],0,A,0,0,,
815,816,15,['010'],2,B,0,0,,
816,817,15,['000'],0,S,0,0,,
817,818,15,['001'],1,A,0,0,,
818,819,15,['010'],2,B,0,0,,
819,820,15,['001'],1,S,0,0,,
820,821,15,['000'],0,A,0,0,,
821,822,15,['010'],2,B,0,0,,
